,id,,,,,,,,,,
,ID,Event1,Param1,Event2,Param2,Event3,Param3,Event4,Param4,Event5,Param5
,int,int,int,int,int,int,int,int,int,int,int
KEY,1,,,,,,,,,,
,5,102,,,,,,,,,
,6,102,,,,,,,,,
,16,102,,,,,,,,,
,18,102,,,,,,,,,
,30,102,,,,,,,,,
,31,102,,,,,,,,,
,34,101,,,,,,,,,
,43,102,,,,,,,,,
,44,102,,,,,,,,,
,45,102,,,,,,,,,
,46,103,,,,,,,,,
,58,102,,,,,,,,,
,59,102,,,,,,,,,
,60,103,,,,,,,,,
,61,102,,,,,,,,,
,71,102,,,,,,,,,
,74,102,,,,,,,,,
,76,102,,,,,,,,,
,78,101,,,,,,,,,
,79,101,,,,,,,,,
,90,101,,,,,,,,,
,91,101,,,,,,,,,
,92,101,,,,,,,,,
,93,101,,,,,,,,,
,94,101,,,,,,,,,
,105,101,,,,,,,,,
,108,101,,,,,,,,,
,118,101,,,,,,,,,
,119,101,,,,,,,,,
,122,101,,,,,,,,,
,133,101,,,,,,,,,
,134,101,,,,,,,,,
,135,101,,,,,,,,,
,136,101,,,,,,,,,
,166,102,,,,,,,,,
,196,202,,,,,,,,,
